screen_time_hrs,unlocks_per_day,night_usage,social_media_hrs,app_switches_hr,notifications_day,sleep_hours,age,risk_level
2.47,45,1,5.95,45,163,5.72,27,High
1.32,124,1,4.03,16,49,8.69,52,Medium
9.31,35,0,1.9,39,142,3.36,44,Medium
7.82,38,1,5.28,69,141,7.11,21,High
8.74,158,0,1.55,59,288,3.15,49,High
3.34,20,1,3.26,49,93,4.03,22,Medium
2.5,49,0,3.82,66,251,5.72,32,High
1.16,20,1,1.33,53,125,5.73,18,Medium
4.86,173,0,5.87,29,118,7.11,15,Medium
7.49,122,0,4.49,27,230,8.46,54,High
5.31,196,1,3.35,28,50,6.83,23,Medium
5.81,48,0,1.08,42,156,8.72,55,Low
10.95,63,1,0.32,32,121,8.29,29,Medium
4.83,107,1,1.92,25,112,6.51,44,Low
6.65,64,0,4.52,58,55,8.0,16,Low
9.62,120,1,1.62,22,280,6.86,16,High
5.36,161,1,3.24,40,204,3.47,29,High
7.84,159,1,4.37,49,289,7.44,53,High
10.49,78,1,0.65,77,292,3.57,31,High
11.44,65,1,4.11,57,49,6.56,17,High
2.62,42,0,0.55,34,198,7.22,44,Low
11.19,45,1,5.79,64,173,3.4,34,High
6.41,157,1,2.93,36,33,4.38,18,High
3.84,90,1,0.9,71,33,8.49,47,Low
6.05,199,1,2.05,71,13,6.7,34,Medium
11.78,118,1,2.48,32,299,4.48,13,High
6.42,163,0,4.55,48,190,7.14,32,Medium
4.62,82,1,4.46,45,257,6.58,34,Medium
7.97,49,0,3.67,67,125,6.01,23,Medium
3.64,26,0,0.64,27,288,8.86,25,Low
1.83,138,0,0.91,79,78,7.1,54,Low
2.42,70,0,0.56,52,263,5.25,15,Medium
2.41,180,1,3.46,36,190,7.8,21,High
2.67,113,0,5.26,61,178,8.31,24,High
2.53,51,0,2.6,37,258,3.75,35,Medium
8.05,34,1,0.97,28,197,4.2,26,High
3.0,48,1,3.35,43,63,4.3,45,Medium
4.8,44,1,4.87,38,147,7.15,30,Low
10.86,140,0,4.45,60,177,6.62,53,High
6.21,117,1,5.29,32,112,6.71,21,Medium
8.34,181,1,1.67,41,94,8.64,35,Medium
2.9,188,0,1.16,11,221,7.66,22,Medium
3.12,111,1,5.28,72,12,3.77,31,High
1.45,107,1,3.95,41,188,5.09,59,High
